"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"June 18, 2009","Suncoast Schools Federal Credit Union","Tampa","Florida","HACK","BSF","56,000","Some members of Suncoast Schools              Federal Credit Union have been notified that their debit card accounts              were exposed to fraud. It is the latest casualty of last year's breach              of Heartland Payment Systems, one of the country's largest credit              card processors, where information from more than 100 million credit              and debit card transactions was exposed. Not until the end of May              did Suncoast discover that some of its customers who use Visa Check              Cards could be in danger. The Tampa credit union is issuing new cards              to all members whose accounts were compromised.","Media","","2009","27.947522","-82.458428"
"June 16, 2009","Redondo Beach Arco Gas Station","Redondo Beach","California","INSD","BSR","1,000","An organized-crime ring that police 
            believe is Russian or Armenian targeted a high-volume Redondo Beach 
            Arco gas station, assigned a low-level soldier to infiltrate it and 
            waited eight months while he worked himself into a position where 
            he could implant a tiny, high-tech skimmer to steal 
            customers' credit-card information. Armed with a fresh batch 
            of personal-information numbers, the gang began draining thousands 
            of Southern California bank accounts soon after Erick, 
            the model employee who was by then entrusted with opening the station 
            every day at 5 a.m., vanished in late April along with 1,500 packs 
            of cigarettes, $1,000, a laptop, his employee application form  -  
            and the two digital video recorders used for surveillance. The skimmer 
            scam left a string of more than 1,000 victims, stretching from Santa 
            Barbara to Newport Beach.","Media","","2009","33.849182","-118.388408"
"June 12, 2009","Kirkwood Community College","Cedar Rapids","Iowa","PORT","EDU","1,600","Someone took a storage device from 
          a counselor's office in Iowa City. That device contained names and Social 
          Security numbers for participants in the PROMISE JOBS program.","Dataloss DB","","2009","41.962501","-91.691847"
"June 5, 2009","Virginia Commonwealth University","Richmond","Virginia","STAT","EDU","17,214","A desktop computer was stolen from 
          a secured area within Cabell Library in mid-April. The computer may 
          have contained student names, Social Security numbers and test scores 
          dating from October 2005 to the present. VCU discontinued use of Social 
          Security numbers as ID numbers in January 2007. An additional 22,500 
          students are being notified that their names and test scores may have 
          also been on the computer. No Social Security numbers were recorded 
          with those names, but computer-generated student ID numbers may have 
          been.","Dataloss DB","","2009","37.542979","-77.469092"
"June 4, 2009","Maine Office of Information Technology","Augusta","Maine","PHYS","GOV","597","Through a printing error, 597 people 
          receiving unemployment benefits last week got direct-deposit information 
          including Social Security numbers belonging to another person. We 
          received a print job and were running it, and there was an equipment 
          malfunction, Thompson said. In restarting the piece of equipment, 
          a mistake was made and it started one page off. It was an error and 
          our quality assurance didn't pick it up. Recipients received one 
          page with their own information and another page with information belonging 
          to a different person.","Dataloss DB","","2009","44.310624","-69.779490"
"May 27, 2009","Warren County Virtual Community School","Lebanon","Ohio","PHYS","EDU","140","Contractors installing fiber on 
          a near by street to the school say they found a four-page list in a 
          recycling dumpster when they went to dump some trash. The list had more 
          than 140 students' names, addresses, Social Security numbers and 
          birth dates listed. Their parents names were on the list too.","Dataloss DB","","2009","39.435337","-84.202992"
"May 23, 2009","Indianapolis Department of Workforce Development","Indianapolis","Indiana","DISC","GOV","4,500","The Department of Workforce Development 
            is notifying approximately 4,500 unemployment recipients concerning 
            the accidental disclosure of their Social Security number to the incorrect 
            employer. The release occurred during the printing of DWD's Statement 
            of Benefit Charges by print vendor, Pitney Bowes Management 
            Services Inc. This form is sent to companies listing those who are 
            collecting unemployment benefits against that employer's account. 
            The misprinted statements contained information from individuals who 
            did not work for that company. Approximately 1,200 companies received 
            incorrect statements.","Dataloss DB","","2009","39.767016","-86.156255"
"May 18, 2009","NJ Department of Labor and Workforce Development","Trenton","New Jersey","DISC","GOV","28,000","Unemployed New Jersey residents 
          may have had their name and Social Security number accidentally delivered 
          to an employer for which you did not work. The error occurred when department 
          staff last month sent first-quarter reports to businesses that included 
          a list of former employees receiving unemployment benefits. Because 
          some companies had laid off a significant number of employees, the reports 
          were longer than usual, requiring staff members to stuff the envelopes 
          by hand rather by machine. Some reports were placed in the wrong envelopes.","Dataloss DB","","2009","40.217053","-74.742938"
"May 18, 2009","Anderson Kia Car Dealership","Boulder","Colorado","PHYS","BSR","0","Police have chained up 10 recycling 
          bins outside Boulder's now-defunct Anderson Kia car dealership 
          after learning that the bins were stuffed with personal information 
          from the dealership's former customers. Green recycling bins were 
          piled full with folders, each headed with an individual's name. 
          All of the folders contained Social Security numbers, driver's 
          license information, photos, phone numbers and financial information 
          for Kia customers.","Dataloss DB","","2009","40.014986","-105.270546"
"May 11, 2009","Office of the State Superintendent of Education D.C.","Washington","District Of Columbia","DISC","EDU","2,400","The D.C. agency that handles college 
          financial aid requests had accidentally e-mailed personal information 
          from 2,400 student applicants to more than 1,000 of those applicants. 
          An employee of the agency's Higher Education Financial Services Program 
          inadvertently attached an Excel spreadsheet to an e-mail. The information 
          included student names, e-mail and home addresses, phone and Social 
          Security numbers and dates of birth.","Dataloss DB","","2009","38.895112","-77.036366"
"April 29, 2009","Oklahoma Housing Finance Agency","Oklahoma City","Oklahoma","PORT","GOV","225,000","A laptop computer containing the 
          personal information of about 225,000 Oklahomans was stolen from a city 
          home last week. The names, Social Security numbers, tax identification 
          numbers, birth dates and addresses of clients of the Section 8 Housing 
          Voucher Program were on an employee's laptop that was stolen.","Dataloss DB","","2009","35.467560","-97.516428"
"April 29, 2009","llinois Department on Aging","Springfield","Illinois","DISC","GOV","170","A spreadsheet with worker names 
          and Social Security numbers was found on the Internet. The data, prepared 
          for an outside auditing firm, was released to a so-called peer-to-peer 
          network during a music transfer to an agency laptop. 160 employees and 
          another 10 or so former staffers were alerted to the breach.","Dataloss DB","","2009","39.801717","-89.643711"
"April 27, 2009","Federal Reserve Bank of New York","New York","New York","INSD","BSF","0","A former employee at the Federal 
          Reserve Bank of New York and his brother were arrested on suspicion 
          of obtaining loans using stolen identities. The former employee previously 
          worked as an IT analyst at the bank and had access to sensitive employee 
          information, including names, birthdates, Social Security numbers and 
          photographs. A thumb drive attached to his computer had applications 
          for $73,000 in student loans using two stolen identities. They also 
          found a fake drivers license with the photo of a bank employee who wasn't 
          the person identified in the license.","Media","","2009","40.714269","-74.005973"
"April 23, 2009","Oklahoma Department of Human Services           ","Oklahoma City","Oklahoma","PORT","GOV","1,000,000","Some personal information may have 
          been contained on a laptop computer stolen from an agency employee. 
          Information on the stolen computer included names, Social Security numbers 
          and dates of birth for people who receive DHS services.","Dataloss DB","","2009","35.467560","-97.516428"
"April 22, 2009","Marian Medical Center","Santa Maria","California","PORT","MED","3,200","Recent patients of the emergency 
          room and Urgent Care Center have been alerted that a Blackberry containing 
          patient information was stolen from the hospital. The Blackberry contained 
          an email message that included patient information, such as Social Security 
          numbers, dates of birth and medical histories.","Dataloss DB","","2009","34.953034","-120.435719"
"April 22, 2009","New York State Tax Department","New York","New York","INSD","GOV","2,000","A former New York state tax department 
          worker was accused of stealing the identities of thousands of taxpayers 
          and running up more than $200,000 in fraudulent charges. The former 
          employee gathered credit card, brokerage account and Social Security 
          numbers that he used to open more than 90 credit card accounts and lines 
          of credit between 2006 and 2008. Investigators searched the employee's 
          home, they found more than 700 state tax forms containing identifying 
          taxpayer information. They also found more than 300 birth certificates, 
          more than 1,000 Social Security cards, credit card statements and applications, 
          and some 2,000 notes with Social Security numbers, many accompanied 
          by handwritten notes such as good prospect, had money 
          and go with this one.","Media","","2009","40.714269","-74.005973"
"April 20, 2009","FairPoint Communications Inc.","Charlotte ","North Carolina","PORT","BSO","4,400","A worker's failure to abide 
          by security precautions caused a portable data-storage device containing 
          employee information to disappear. The device contained information 
          for all current FairPoint employees and some former employees, or about 
          4,400 individuals in total. Such data may have included names, home 
          addresses and phone numbers, Social Security numbers, birth dates and 
          certain compensation and employment information.","Dataloss DB","","2009","35.227087","-80.843127"
"April 16, 2009","MySpace","Los Angeles","California","INSD","BSO","0","Confidential employee information, 
          including at least name, Social Security numbers and compensation, 
          was taken by an employee in the company's benefit's department 
          without authorization, beginning in June 2008 or earlier. The information 
          was used to annoy selected individuals and the now former 
          employee was arrested and is being prosecuted by the High Tech Crimes 
          Division of the Los Angeles County District Attorneys Office.","Dataloss DB","","2009","34.052234","-118.243685"
"April 13, 2009","Moses Cone Hospital","Greensboro","North Carolina","PORT","MED","14,380","Moses Cone Hospital is offering 
            free credit monitoring to 14,380 patients after a laptop computer 
            containing confidential information was stolen from a VHA employee's 
            car. The information on the laptop, including patients' Social Security 
            numbers.","Dataloss DB","","2009","36.072635","-79.791975"
"April 12, 2009","CBIZ Medical Management Professionals","Chattanooga","Tennessee","STAT","MED","0","The office of CBIZ Medical was broken 
          into on Feb. 23. Among the items stolen was a computer belonging to 
          the hospital with stored radiology reports related to some patients. 
          Patients between December 2007 and Feb. 23, 2009, may have had records 
          saved on the stolen computer.","Dataloss DB","","2009","35.045630","-85.309680"
"April 11, 2009","Peninsula Orthopaedic Associates","Salisbury","Maryland","PORT","MED","100,000","As many as 100,000 patients of 
            Peninsula Orthopaedic Associates are being warned to protect themselves 
            against identity theft after tapes containing patient information 
            were stolen. Patients also were advised to keep an eye on benefits 
            statements from their health insurance companies since they may also 
            be at risk for medical identity theft. The records from Peninsula 
            Orthopaedic were stolen March 25 while in transport to an off-site 
            storage facility. Patients' personal information including their Social 
            Security numbers, employers and health insurance plan numbers may 
            have been among the information stolen.","Dataloss DB","","2009","38.360674","-75.599369"
"April 10, 2009","Borrego Springs Bank, Vavrinek, Trine, Day and Co.","Borrego Springs","California","PORT","BSF","0","The theft of seven laptop computers 
          from an auditing firm has led the Borrego Springs Bank to send warning 
          letters to all of its customers saying their personal financial information 
          may be in the hands of criminals. The bank would not comment on the 
          name of the accounting firm that was auditing the records or how or 
          where the thefts occurred. The computer files contain sensitive personal 
          financial information including account name, number and balance.","Dataloss DB","","2009","33.255872","-116.375012"
"April 9, 2009","Penn State Erie/Behrend College","Erie","Pennsylvania","HACK","EDU","10,868","On March 23, the University confirmed 
            that 10,868 Social Security numbers in historical data on a computer 
            at Penn State Erie, The Behrend College, could have been breached. 
            Longstanding security measures, designed to protect the network and 
            systems from malicious software, alerted the University to the potential 
            breach. As soon as the University became aware of the malicious software 
            on this computer, the computer was immediately taken off line, data 
            was examined and information was removed.","Dataloss DB","","2009","42.129224","-80.085059"
"April 8, 2009","Metro Nashville School/Public Consulting Group ","Nashville","Tennessee","DISC","EDU","18,000","Metro Nashville students' names, 
          Social Security numbers, addresses and dates of birth and parents' demographic 
          information were available by searching Google. A private contractor 
          unintentionally put student data on a computer Web server that wasn't 
          secure. The data was available online from Dec. 28 to March 31.","Dataloss DB","","2009","36.165890","-86.784443"
"April 6, 2009","City of Culpeper","Culpepper","Virginia","DISC","GOV","7,845","Personal information for 7,845 
            town taxpayers was exposed on the Internet due to a vendor's mistake. 
            The unidentified vendor had the records to reformat the town's personal 
            property tax file for billing purposes. The files containing the names, 
            addresses and Social Security numbers of residents were on a password-protected 
            site that was compromised.","Dataloss DB","","2009","38.473182","-77.996664"
"April 8, 2009","Hawaii Department of Transportation","Kapolei, O'ahu","Hawaii","PORT","GOV","1,892","Holders of Hawai'i commercial driver's 
          licenses are being warned to take measures to prevent identity theft 
          after a state computer containing personal information was stolen three 
          weeks ago. The laptop computer contained the names, addresses, Social 
          Security numbers and other personal information of 1,892 commercial 
          vehicle license drivers.","Dataloss DB","","2009","21.335403","-158.056892"
"April 3, 2009","Policy Studies, Inc., Tenn. Dept. of Human Services","Nashville","Tennessee","INSD","GOV","1,600","A former child support worker was 
          arrested after attempting to sell the personal information  -  including 
          names, Social Security numbers and bank account numbers  -  of 1,600 
          people. He sold a total of 35 names, dates of birth and Social Security 
          numbers between October 2008 and last month, all to an undercover operative 
          of the Tennessee Bureau of Investigation. He claimed to the operative 
          that he had similar information that he was willing to sell for an additional 
          1,500 people, and was arrested while meeting with the operative to deliver 
          the information.","Dataloss DB","","2009","36.165890","-86.784443"
"April 1, 2009","Palo Alto Medical Foundation","Palo Alto","California","PORT","MED","1,000","A laptop computer recently stolen 
          at the Palo Alto Medical Foundation's Santa Cruz office contained personal 
          and medical information of 1,000 Santa Cruz County patients.","Dataloss DB","","2009","37.441883","-122.143020"
"April 1, 2009","State of Maryland","","Maryland","PHYS","GOV","8,000","The names, Social Security numbers and other personal information of about 8,000 state employees could be compromised. The potential problem came to light when a torn and empty envelope from the company that manages the state's health savings account program arrived by U.S. mail. The envelope was missing an invoice that contains confidential information.","","","2009","39.045755","-76.641271"
"March 27, 2009","Pacific University   ","Forest Grove","Oregon","PORT","EDU","0","A University-owned laptop was stolen 
          from a staff member's residence. The stolen laptop was password 
          protected and there is no factual evidence that any private information 
          was stored on the laptop. The computer contained names and some personal 
          information. It does not appear that any Social Security numbers were 
          stored on the system.","Media","","2009","45.519836","-123.110663"
"March 23, 2009","Maryland Federal Court","Baltimore","Maryland","DISC","GOV","226","A filing error in Maryland's federal 
          court resulted in health insurance information for 226 people - including 
          42 Social Security numbers - being made available to the public for 
          more than two weeks. The private information of Washington area residents 
          was included in requests for warrants to search the doctors' offices 
          in Suitland, La Plata, Oxon Hill and Falls Church as part of a health 
          care fraud investigation. The warrants were marked as being sealed and, 
          therefore, were not supposed to be made public.","Media","","2009","39.290385","-76.612189"
"March 19, 2009","Bailey Middle School","Nashville","Tennessee","PHYS","EDU","21","A Nashville mother who was walking 
            along found confidential paperwork that lists Metro school students' 
            names, Social Security numbers and disabilities. The Metro Schools 
            spokeswoman said they will trace the documents and try to figure out 
            how they got where they weren't supposed to be.","Media","","2009","36.165890","-86.784443"
"March 18, 2009","University of West Georgia","Carrollton","Georgia","PORT","EDU","1,300","University of West Georgia officials 
          have notified nearly 1,300 students and faculty members that their personal 
          information was on a laptop stolen from a professor traveling in Italy. 
          The laptop was taken last summer, but university officials say they 
          only recently learned that the computer contained sensitive information, 
          including names, addresses, phone numbers and Social Security numbers.","Dataloss DB","","2009","33.580110","-85.076611"
"March 18, 2009","New York City Housing Authority","New York","New York","PHYS","GOV","0","Dozens of confidential files with 
          city public housing residents' birth dates, Social Security numbers, 
          and eviction notices were dumped on an East New York street. City Housing 
          Authority officials are investigating to determine how the files ended 
          up scattered along Atlantic Ave. near Pennsylvania Ave.","Dataloss DB","","2009","40.714269","-74.005973"
"March 17, 2009","Penn State Office of Physical Plant","University Park","Pennsylvania","HACK","EDU","1,000","The Social Security numbers of 
          employees working for the Penn State Office of Physical Plant in 2000 
          may have been stolen. A virus infiltrated an administrative computer 
          that contained more than 1,000 Social Security numbers of OPP employees.","Dataloss DB","","2009","40.802006","-77.856390"
"March 11, 2009","Binghamton University","Binghamton","New York","STAT","EDU","100,000","Binghamton University kept payment 
          information for every student, possibly dating back at least ten years 
          in a storage area next to one of the most trafficked lecture halls on 
          campus, behind a door that was not only unlocked but taped open. The 
          information itself contained Social Security numbers, credit card numbers, 
          scans of tax forms, business information (including Social Security 
          numbers and salary information for employees of students' parents), 
          asylum records and more, all kept in a haphazard and disorganized fashion, 
          sprawled out in boxes, in unlocked (yet lockable) filing cabinets and 
          shelving units. If the information inside the room pertained only to 
          the current students enrolled and their parents that would mean the 
          story would effect, roughly, forty-two thousand people. However, because 
          the information goes back at least ten years, if not more, the potential 
          number of people effect lies well in the hundred thousands.","Media","","2009","42.098687","-75.917974"
"March 7, 2009","Idaho National Laboratory ","Idaho Falls","Idaho","PORT","GOV","59,000","Idaho's Congressional Delegation 
          this week announced a potential identity theft threat involving information 
          from 59,000 present and former workers at the Idaho National Laboratory 
          at Idaho Falls. DOE notified delegation members that an encoded disc 
          containing personal data from the employees was either lost or stolen 
          in transit via United Parcel Service. The package, originally shipped 
          from New York to Maryland, was found damaged.","Dataloss DB","","2009","43.466581","-112.034137"
"March 7, 2009","Oklahoma Department of Human Services","Shawnee","Oklahoma","PHYS","GOV","0","The state Department of Human Services 
          is investigating how a child welfare worker's records ended up 
          with a local TV station. The files, which included names, Social Security 
          numbers, contact information and details on child abuse investigations, 
          reportedly were left behind when a DHS worker was evicted from a rent 
          house in Guthrie.","Dataloss DB","","2009","35.327293","-96.925300"
"March 6, 2009","Federal Emergency Management Agency Region 5 Office","Griffith","Indiana","PORT","GOV","50","A laptop containing Social Security 
            numbers and other personal information from dozens of victims of last 
            September's floods was reported stolen from a housing inspector's 
            car. Representatives from the Federal Emergency Management Agency 
            alerted roughly 50 flood victims from Gary, Hammond, Highland, 
            Griffith and Munster whose information was stored in the laptop after 
            they applied for federal disaster assistance. The password-protected 
            laptop was stolen from a housing inspector's car in Griffith on Nov. 
            4, containing names, Social Security numbers, dates of birth, addresses 
            and phone numbers of people who applied for assistance.","Dataloss DB","","2009","41.528369","-87.423650"
"March 5, 2009","St. Rita's Medical Center","Lima","Ohio","PHYS","MED","242","A home-health employee for St. 
            Rita's Medical Center had a bag stolen during an automobile break-in. 
            The bag contained information on some patients, including names, dated 
            of birth, addresses, phone numbers, patient identification numbers, 
            and the names of case managers and physicians. In some cases it also 
            included Social Security numbers and the type of treatment being provided, 
            according to a letter given to the patients involved.","Dataloss DB","","2009","40.742551","-84.105226"
"March 4, 2009","Elk Grove Unified School District","Elk Grove","California","PHYS","EDU","520","A document with the Social Security 
          numbers of more than 500 Elk Grove Unified School District employees 
          was lost by a district employee.","Dataloss DB","","2009","38.408799","-121.371618"
"March 4, 2009","New York Police Department","New York","New York","INSD","GOV","80,000","A civilian employee of the department's 
          pension fund is accused of stealing eight tapes containing the Social 
          Security numbers and direct-deposit information for 80,000 current and 
          retired cops. The employee, who served as the pension fund's director 
          of communications, has been charged with computer trespass, burglary 
          and grand larceny. He is accused of removing the tapes from a backup 
          data warehouse on Staten Island after disabling security cameras. Police 
          found the missing tapes at his home before arresting him.","Dataloss DB","","2009","40.714269","-74.005973"
"March 3, 2009","Western Oklahoma State College","Altus","Oklahoma","DISC","EDU","1,500","A computer breach at Western Oklahoma 
          State College may have exposed Social Security numbers and other identifying 
          information for 1,500 campus library users. An unauthorized program 
          known as a rootkit was installed on a server administered by an outside 
          party. There is no indication that any of the data on the machine was 
          actually compromised  -  only that the opportunity for someone to 
          access it existed.","Dataloss DB","","2009","34.638126","-99.333975"
"March 1, 2009","City of Muskogee","Muskogee","Oklahoma","PORT","GOV","4,500","The city of Muskogee recently discovered 
          that a computer zip disk containing personal information 
          has been in public circulation since 2000. The disk in some cases contained 
          phone numbers and in other cases contained Sociel Security numbers. 
          It's believed that a forgetful employee scooped up the disk while putting 
          together surplus items no longer used by the city.","Dataloss DB","","2009","35.747877","-95.369691"
